lbwsg_category,modelable_entity_id,modelable_entity_name,ga_start,ga_end,bw_start,bw_end,ga_interval,ga_width,ga_midpoint,bw_interval,bw_width,bw_midpoint
cat54,10807,"Birth prevalence - [38, 40) wks, [3500, 4000) g",38,40,3500,4000,"[38, 40)",2,39.0,"[3500, 4000)",500,3750.0
cat55,10808,"Birth prevalence - [40, 42) wks, [3500, 4000) g",40,42,3500,4000,"[40, 42)",2,41.0,"[3500, 4000)",500,3750.0
cat56,10809,"Birth prevalence - [40, 42) wks, [4000, 4500) g",40,42,4000,4500,"[40, 42)",2,41.0,"[4000, 4500)",500,4250.0
cat80,20203,"Birth prevalence - [28, 30) wks, [2000, 2500) g",28,30,2000,2500,"[28, 30)",2,29.0,"[2000, 2500)",500,2250.0
cat81,20204,"Birth prevalence - [28, 30) wks, [2500, 3000) g",28,30,2500,3000,"[28, 30)",2,29.0,"[2500, 3000)",500,2750.0
cat82,20205,"Birth prevalence - [28, 30) wks, [3000, 3500) g",28,30,3000,3500,"[28, 30)",2,29.0,"[3000, 3500)",500,3250.0
cat88,20209,"Birth prevalence - [30, 32) wks, [2500, 3000) g",30,32,2500,3000,"[30, 32)",2,31.0,"[2500, 3000)",500,2750.0
cat89,20210,"Birth prevalence - [30, 32) wks, [3000, 3500) g",30,32,3000,3500,"[30, 32)",2,31.0,"[3000, 3500)",500,3250.0
cat90,20211,"Birth prevalence - [30, 32) wks, [3500, 4000) g",30,32,3500,4000,"[30, 32)",2,31.0,"[3500, 4000)",500,3750.0
cat95,20214,"Birth prevalence - [32, 34) wks, [3000, 3500) g",32,34,3000,3500,"[32, 34)",2,33.0,"[3000, 3500)",500,3250.0
cat96,20215,"Birth prevalence - [32, 34) wks, [3500, 4000) g",32,34,3500,4000,"[32, 34)",2,33.0,"[3500, 4000)",500,3750.0
cat106,20221,"Birth prevalence - [36, 37) wks, [1000, 1500) g",36,37,1000,1500,"[36, 37)",1,36.5,"[1000, 1500)",500,1250.0
cat116,20227,"Birth prevalence - [38, 40) wks, [1000, 1500) g",38,40,1000,1500,"[38, 40)",2,39.0,"[1000, 1500)",500,1250.0
cat117,20228,"Birth prevalence - [38, 40) wks, [1500, 2000) g",38,40,1500,2000,"[38, 40)",2,39.0,"[1500, 2000)",500,1750.0
cat123,20232,"Birth prevalence - [40, 42) wks, [1500, 2000) g",40,42,1500,2000,"[40, 42)",2,41.0,"[1500, 2000)",500,1750.0
cat124,20224,"Birth prevalence - [37, 38) wks, [1000, 1500) g",37,38,1000,1500,"[37, 38)",1,37.5,"[1000, 1500)",500,1250.0
